date,theta0,theta1,theta2,theta3,lambda1,lambda2,raw_data_json
2024-01-15,2.513943,-0.619,1.2,-0.9,1.777503,7.444642,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-02-15,2.523647,-0.592932,1.2,-0.9,1.839218,7.417388,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-03-15,2.492192,-0.618808,1.2,-0.9,1.771864,7.501071,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-04-15,2.452654,-0.612046,1.2,-0.9,1.814988,7.508988,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-05-15,2.472044,-0.596429,1.2,-0.9,1.830943,7.4013,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-06-15,2.530582,-0.592074,1.2,-0.9,1.784025,7.431096,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-07-15,2.545721,-0.606536,1.2,-0.9,1.759275,7.419343,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-08-15,2.534749,-0.595851,1.2,-0.9,1.830713,7.545946,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-09-15,2.503623,-0.581075,1.2,-0.9,1.787853,7.510408,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-10-15,2.53294,-0.595259,1.2,-0.9,1.836171,7.51547,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-11-15,2.520457,-0.618167,1.2,-0.9,1.77279,7.457878,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
2024-12-15,2.457979,-0.610688,1.2,-0.9,1.7601,7.455595,"{""source"": ""BANK"", ""bank"": ""\u793a\u4f8b\u94f6\u884c"", ""rating"": ""AAA""}"
