date,theta0,theta1,theta2,theta3,lambda1,lambda2,raw_data_json
2024-01-02,0.988688,3.113811,-3.60705,4.903049,2.11054,11.853639,"{""date"": ""2024-01-02"", ""period"": ""02 Jan 2024"", ""beta0"": 0.988688, ""beta1"": 3.113811, ""beta2"": -3.60705, ""beta3"": 4.903049, ""tau1"": 2.11054, ""tau2"": 11.853639}"
2024-01-03,1.020152,3.131294,-3.552471,4.775223,2.054197,12.102041,"{""date"": ""2024-01-03"", ""period"": ""03 Jan 2024"", ""beta0"": 1.020152, ""beta1"": 3.131294, ""beta2"": -3.552471, ""beta3"": 4.775223, ""tau1"": 2.054197, ""tau2"": 12.102041}"
2024-01-04,1.025413,3.120911,-3.227703,4.898865,1.985154,12.266894,"{""date"": ""2024-01-04"", ""period"": ""04 Jan 2024"", ""beta0"": 1.025413, ""beta1"": 3.120911, ""beta2"": -3.227703, ""beta3"": 4.898865, ""tau1"": 1.985154, ""tau2"": 12.266894}"
2024-01-05,1.03932,3.136538,-3.045534,4.863434,2.01264,12.375885,"{""date"": ""2024-01-05"", ""period"": ""05 Jan 2024"", ""beta0"": 1.03932, ""beta1"": 3.136538, ""beta2"": -3.045534, ""beta3"": 4.863434, ""tau1"": 2.01264, ""tau2"": 12.375885}"
2024-01-08,1.028809,3.137636,-3.217217,4.952947,2.068645,12.315142,"{""date"": ""2024-01-08"", ""period"": ""08 Jan 2024"", ""beta0"": 1.028809, ""beta1"": 3.137636, ""beta2"": -3.217217, ""beta3"": 4.952947, ""tau1"": 2.068645, ""tau2"": 12.315142}"
2024-01-09,1.032444,3.140892,-2.988605,4.891126,1.957671,12.333726,"{""date"": ""2024-01-09"", ""period"": ""09 Jan 2024"", ""beta0"": 1.032444, ""beta1"": 3.140892, ""beta2"": -2.988605, ""beta3"": 4.891126, ""tau1"": 1.957671, ""tau2"": 12.333726}"
2024-01-10,1.066539,3.157123,-2.779106,4.705015,1.848451,12.496371,"{""date"": ""2024-01-10"", ""period"": ""10 Jan 2024"", ""beta0"": 1.066539, ""beta1"": 3.157123, ""beta2"": -2.779106, ""beta3"": 4.705015, ""tau1"": 1.848451, ""tau2"": 12.496371}"
2024-01-11,1.06005,3.095625,-2.821171,4.725758,1.916541,12.473664,"{""date"": ""2024-01-11"", ""period"": ""11 Jan 2024"", ""beta0"": 1.06005, ""beta1"": 3.095625, ""beta2"": -2.821171, ""beta3"": 4.725758, ""tau1"": 1.916541, ""tau2"": 12.473664}"
2024-01-12,1.020377,3.13521,-3.118051,4.955828,1.985316,12.548048,"{""date"": ""2024-01-12"", ""period"": ""12 Jan 2024"", ""beta0"": 1.020377, ""beta1"": 3.13521, ""beta2"": -3.118051, ""beta3"": 4.955828, ""tau1"": 1.985316, ""tau2"": 12.548048}"
2024-01-15,1.007393,3.141681,-3.056867,5.149125,1.991575,12.379791,"{""date"": ""2024-01-15"", ""period"": ""15 Jan 2024"", ""beta0"": 1.007393, ""beta1"": 3.141681, ""beta2"": -3.056867, ""beta3"": 5.149125, ""tau1"": 1.991575, ""tau2"": 12.379791}"
