date,theta0,theta1,theta2,theta3,lambda1,lambda2,raw_data_json
2025-01-15,4.7,-1.6,2.5,-1.8,1.5,12.0,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-02-15,4.64,-1.57,2.45,-1.76,1.5,12.05,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-03-15,4.58,-1.54,2.4,-1.72,1.5,12.1,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-04-15,4.52,-1.51,2.35,-1.68,1.5,12.15,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-05-15,4.46,-1.48,2.3,-1.64,1.5,12.2,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-06-15,4.4,-1.45,2.25,-1.6,1.5,12.25,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-07-15,4.34,-1.42,2.2,-1.56,1.5,12.3,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-08-15,4.28,-1.39,2.15,-1.52,1.5,12.35,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-09-15,4.22,-1.36,2.1,-1.48,1.5,12.4,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-10-15,4.16,-1.33,2.05,-1.44,1.5,12.45,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-11-15,4.1,-1.3,2.0,-1.4,1.5,12.5,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2025-12-15,4.04,-1.27,1.95,-1.36,1.5,12.55,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
2026-01-15,3.98,-1.24,1.9,-1.32,1.5,12.6,"{""source"": ""FRB"", ""instrument"": ""USD_SVENSSON"", ""tenor_unit"": ""year""}"
